
steps: 24975, episodes: 1000, mean episode reward: -5.202014964321541, time: 92.621
steps: 1099975, episodes: 44000, mean episode reward: -4.50318973515089, time: 99.838
steps: 1124975, episodes: 45000, mean episode reward: -4.715305770113151, time: 99.053
steps: 1149975, episodes: 46000, mean episode reward: -6.948028419053897, time: 97.519
steps: 1174975, episodes: 47000, mean episode reward: -7.7223774543736114, time: 96.995
steps: 1199975, episodes: 48000, mean episode reward: -7.593658115547361, time: 98.219
steps: 1224975, episodes: 49000, mean episode reward: -6.032294362036449, time: 101.193
steps: 1249975, episodes: 50000, mean episode reward: -6.485692821798537, time: 104.027
steps: 1274975, episodes: 51000, mean episode reward: -7.517355894724929, time: 97.925
steps: 1299975, episodes: 52000, mean episode reward: -6.6915423060016375, time: 100.766
steps: 1324975, episodes: 53000, mean episode reward: -4.107878993236034, time: 103.139
steps: 1349975, episodes: 54000, mean episode reward: -3.163973565124621, time: 102.183
steps: 1374975, episodes: 55000, mean episode reward: -2.0321591677450073, time: 101.238
steps: 1399975, episodes: 56000, mean episode reward: -1.984238345634444, time: 101.564
steps: 1424975, episodes: 57000, mean episode reward: -1.9217048501600018, time: 101.733
steps: 1449975, episodes: 58000, mean episode reward: -1.9360789980276132, time: 101.621
steps: 1474975, episodes: 59000, mean episode reward: -1.9360338062849691, time: 101.654
steps: 1499975, episodes: 60000, mean episode reward: -1.919196499134123, time: 101.931
steps: 1524975, episodes: 61000, mean episode reward: -1.9125701875713548, time: 101.832
steps: 1549975, episodes: 62000, mean episode reward: -1.9740781379183505, time: 101.022
steps: 1574975, episodes: 63000, mean episode reward: -2.5326370171845207, time: 94.974
steps: 1599975, episodes: 64000, mean episode reward: -3.606741402802743, time: 87.499
steps: 1624975, episodes: 65000, mean episode reward: -4.922834019814487, time: 86.513
steps: 1649975, episodes: 66000, mean episode reward: -4.939182470261498, time: 86.203
steps: 1674975, episodes: 67000, mean episode reward: -3.8199453888244945, time: 86.41
steps: 1699975, episodes: 68000, mean episode reward: -3.5800046621813815, time: 87.142
steps: 1724975, episodes: 69000, mean episode reward: -3.3203360424413466, time: 91.702
steps: 1749975, episodes: 70000, mean episode reward: -3.6734061072116684, time: 89.304
steps: 1774975, episodes: 71000, mean episode reward: -3.9644857183842315, time: 90.255
steps: 1799975, episodes: 72000, mean episode reward: -3.728910179936357, time: 92.143
steps: 1824975, episodes: 73000, mean episode reward: -3.173615953419828, time: 102.057
steps: 1849975, episodes: 74000, mean episode reward: -2.8723455914351943, time: 102.424
steps: 1874975, episodes: 75000, mean episode reward: -3.4174243295772784, time: 89.712
steps: 1899975, episodes: 76000, mean episode reward: -3.3939740859512892, time: 92.402
steps: 1924975, episodes: 77000, mean episode reward: -3.69718100618754, time: 103.338
steps: 1949975, episodes: 78000, mean episode reward: -3.7995040786416867, time: 104.221
steps: 1974975, episodes: 79000, mean episode reward: -3.507549475200821, time: 104.395
steps: 1999975, episodes: 80000, mean episode reward: -4.408418387589681, time: 104.793
steps: 2024975, episodes: 81000, mean episode reward: -2.7627264609538345, time: 103.185
steps: 2049975, episodes: 82000, mean episode reward: -4.191396708299399, time: 105.025
steps: 2074975, episodes: 83000, mean episode reward: -4.045234282281462, time: 101.996
steps: 2099975, episodes: 84000, mean episode reward: -3.2955219975882217, time: 87.399
steps: 2124975, episodes: 85000, mean episode reward: -4.726718011525262, time: 95.834
steps: 2149975, episodes: 86000, mean episode reward: -5.452323407612633, time: 99.557
steps: 2174975, episodes: 87000, mean episode reward: -3.6666166870220676, time: 102.049
steps: 2199975, episodes: 88000, mean episode reward: -3.8092042731550877, time: 103.719
steps: 2224975, episodes: 89000, mean episode reward: -3.4641467200041944, time: 103.024
steps: 2249975, episodes: 90000, mean episode reward: -3.4731235987113895, time: 104.199
steps: 2274975, episodes: 91000, mean episode reward: -3.8187993011275796, time: 103.707
steps: 2299975, episodes: 92000, mean episode reward: -1.8000206915772865, time: 102.303
steps: 2324975, episodes: 93000, mean episode reward: -2.6115412363995736, time: 103.184
steps: 2349975, episodes: 94000, mean episode reward: -4.004487096890764, time: 102.201
steps: 2374975, episodes: 95000, mean episode reward: -2.4403664989343867, time: 102.232
steps: 2399975, episodes: 96000, mean episode reward: -1.8518167740939253, time: 100.582
steps: 2424975, episodes: 97000, mean episode reward: -1.7611880802701707, time: 102.28
steps: 2449975, episodes: 98000, mean episode reward: -2.966795735697137, time: 100.818
steps: 2474975, episodes: 99000, mean episode reward: -6.333306186757103, time: 99.115
steps: 2499975, episodes: 100000, mean episode reward: -4.316675586213452, time: 100.521
steps: 2524975, episodes: 101000, mean episode reward: -3.5065550835097197, time: 102.705
steps: 2549975, episodes: 102000, mean episode reward: -2.8132824370531546, time: 100.462
steps: 2574975, episodes: 103000, mean episode reward: -4.589278421377948, time: 104.026
steps: 2599975, episodes: 104000, mean episode reward: -3.407192377417761, time: 101.726
steps: 2624975, episodes: 105000, mean episode reward: -2.9231201368802067, time: 101.745
steps: 2649975, episodes: 106000, mean episode reward: -3.4695153280729247, time: 102.718
steps: 2674975, episodes: 107000, mean episode reward: -2.8442893542811354, time: 100.436
steps: 2699975, episodes: 108000, mean episode reward: -1.9460673909890553, time: 101.886
steps: 2724975, episodes: 109000, mean episode reward: -1.9048499017244822, time: 99.126
steps: 2749975, episodes: 110000, mean episode reward: -1.5067176841371033, time: 100.083
steps: 2774975, episodes: 111000, mean episode reward: -2.247643919823248, time: 98.256
steps: 2799975, episodes: 112000, mean episode reward: -2.401688688537922, time: 97.674
steps: 2824975, episodes: 113000, mean episode reward: -1.6839775718620116, time: 96.707
steps: 2849975, episodes: 114000, mean episode reward: -2.866226119308317, time: 88.352
steps: 2874975, episodes: 115000, mean episode reward: -1.6751108232311167, time: 98.428
steps: 2899975, episodes: 116000, mean episode reward: -1.5257820021093436, time: 97.562
steps: 2924975, episodes: 117000, mean episode reward: -1.4871116424126511, time: 98.076
steps: 2949975, episodes: 118000, mean episode reward: -1.6527160243494246, time: 98.447
steps: 2974975, episodes: 119000, mean episode reward: -1.6690992006452716, time: 97.713
steps: 2999975, episodes: 120000, mean episode reward: -1.3997440842480906, time: 97.451
steps: 3024975, episodes: 121000, mean episode reward: -1.3073998925634256, time: 98.253
steps: 3049975, episodes: 122000, mean episode reward: -1.295479547580882, time: 97.212
steps: 3074975, episodes: 123000, mean episode reward: -1.1776640625416361, time: 97.094
steps: 3099975, episodes: 124000, mean episode reward: -1.1073232854485915, time: 97.779
steps: 3124975, episodes: 125000, mean episode reward: -1.298388130927502, time: 97.249
steps: 3149975, episodes: 126000, mean episode reward: -1.2103726958225005, time: 99.961
steps: 3174975, episodes: 127000, mean episode reward: -1.6306903644604143, time: 102.0
steps: 3199975, episodes: 128000, mean episode reward: -1.7755277811270191, time: 102.235
steps: 3224975, episodes: 129000, mean episode reward: -1.5986220439882355, time: 100.357
steps: 3249975, episodes: 130000, mean episode reward: -1.405612198545939, time: 97.689
steps: 3274975, episodes: 131000, mean episode reward: -1.8559331111527684, time: 98.443
steps: 3299975, episodes: 132000, mean episode reward: -1.3329856088206813, time: 97.055
steps: 3324975, episodes: 133000, mean episode reward: -1.6553136494709657, time: 96.983
steps: 3349975, episodes: 134000, mean episode reward: -1.6036148985266765, time: 97.883
steps: 3374975, episodes: 135000, mean episode reward: -1.4638905056935942, time: 96.721
steps: 3399975, episodes: 136000, mean episode reward: -1.3031529169918818, time: 95.862
steps: 3424975, episodes: 137000, mean episode reward: -1.3421268556622616, time: 95.791
steps: 3449975, episodes: 138000, mean episode reward: -1.3384611618032098, time: 96.717
steps: 3474975, episodes: 139000, mean episode reward: -1.2460926054105042, time: 96.364
steps: 3499975, episodes: 140000, mean episode reward: -1.3053490168202142, time: 96.767
steps: 3524975, episodes: 141000, mean episode reward: -1.323323332452886, time: 100.139
steps: 3549975, episodes: 142000, mean episode reward: -1.1011919975465325, time: 99.197
steps: 3574975, episodes: 143000, mean episode reward: -1.1520788930078518, time: 97.111
steps: 3599975, episodes: 144000, mean episode reward: -1.2898530493823086, time: 96.958
steps: 3624975, episodes: 145000, mean episode reward: -1.2397868001956662, time: 96.832
steps: 3649975, episodes: 146000, mean episode reward: -1.1980170282920144, time: 97.163
steps: 3674975, episodes: 147000, mean episode reward: -1.249553885726801, time: 97.598
steps: 3699975, episodes: 148000, mean episode reward: -1.1422642406009345, time: 99.016
steps: 3724975, episodes: 149000, mean episode reward: -1.2531348096242894, time: 100.986
steps: 3749975, episodes: 150000, mean episode reward: -1.1835539768035368, time: 100.76
steps: 3774975, episodes: 151000, mean episode reward: -1.0810525594069569, time: 98.898
steps: 3799975, episodes: 152000, mean episode reward: -1.092045487179498, time: 98.522
steps: 3824975, episodes: 153000, mean episode reward: -1.092754624625919, time: 97.849
steps: 3849975, episodes: 154000, mean episode reward: -1.183022315786678, time: 98.417
steps: 3874975, episodes: 155000, mean episode reward: -1.2708392786996026, time: 98.449
steps: 3899975, episodes: 156000, mean episode reward: -1.5113664175587247, time: 99.635
steps: 3924975, episodes: 157000, mean episode reward: -1.109395659808135, time: 97.091
steps: 3949975, episodes: 158000, mean episode reward: -1.133543347531999, time: 97.204
steps: 3974975, episodes: 159000, mean episode reward: -1.1226524471058261, time: 97.324
steps: 3999975, episodes: 160000, mean episode reward: -1.0963817922441195, time: 97.336
steps: 4024975, episodes: 161000, mean episode reward: -1.1251369955338781, time: 98.198
steps: 4049975, episodes: 162000, mean episode reward: -1.061823783875159, time: 97.801
steps: 4074975, episodes: 163000, mean episode reward: -1.1154587059946073, time: 97.616
steps: 4099975, episodes: 164000, mean episode reward: -1.0818674216268798, time: 97.544
steps: 4124975, episodes: 165000, mean episode reward: -1.0982928000724488, time: 98.136
steps: 4149975, episodes: 166000, mean episode reward: -1.1545176499266734, time: 97.123
steps: 4174975, episodes: 167000, mean episode reward: -1.2435006593643798, time: 96.529
steps: 4199975, episodes: 168000, mean episode reward: -1.1700302253641468, time: 98.494
steps: 4224975, episodes: 169000, mean episode reward: -1.082086288380954, time: 98.5
steps: 4249975, episodes: 170000, mean episode reward: -1.1107617719901302, time: 98.421
steps: 4274975, episodes: 171000, mean episode reward: -1.0569677053749529, time: 99.086
steps: 4299975, episodes: 172000, mean episode reward: -1.1057639461954734, time: 98.371
steps: 4324975, episodes: 173000, mean episode reward: -1.116192306090662, time: 98.572
steps: 4349975, episodes: 174000, mean episode reward: -1.0470115203253474, time: 98.154
steps: 4374975, episodes: 175000, mean episode reward: -1.0303106236133226, time: 98.106
steps: 4399975, episodes: 176000, mean episode reward: -1.111325482063146, time: 98.213
steps: 4424975, episodes: 177000, mean episode reward: -1.0246439077547065, time: 98.305
steps: 4449975, episodes: 178000, mean episode reward: -1.0600624636099851, time: 97.909
steps: 4474975, episodes: 179000, mean episode reward: -1.124928329193175, time: 97.892
steps: 4499975, episodes: 180000, mean episode reward: -1.0500036324749784, time: 97.911
steps: 4524975, episodes: 181000, mean episode reward: -1.045430382950853, time: 97.784
steps: 4549975, episodes: 182000, mean episode reward: -1.0420423966895642, time: 98.341
steps: 4574975, episodes: 183000, mean episode reward: -1.0492890832027886, time: 98.15
steps: 4599975, episodes: 184000, mean episode reward: -1.0588826465922625, time: 98.057
steps: 4624975, episodes: 185000, mean episode reward: -1.0380999980579768, time: 97.873
steps: 4649975, episodes: 186000, mean episode reward: -1.026901817792815, time: 98.002
steps: 4674975, episodes: 187000, mean episode reward: -1.033157523369371, time: 98.446
steps: 4699975, episodes: 188000, mean episode reward: -1.0443584920191995, time: 98.864
steps: 4724975, episodes: 189000, mean episode reward: -1.033031426550678, time: 98.63
steps: 4749975, episodes: 190000, mean episode reward: -1.0452605424323256, time: 98.631
steps: 4774975, episodes: 191000, mean episode reward: -1.0743483374091902, time: 98.848
steps: 4799975, episodes: 192000, mean episode reward: -1.0259457518034965, time: 98.354
steps: 4824975, episodes: 193000, mean episode reward: -1.0967045505700859, time: 98.608
steps: 4849975, episodes: 194000, mean episode reward: -1.0127024961763162, time: 98.277
steps: 4874975, episodes: 195000, mean episode reward: -1.017333723205967, time: 98.96
steps: 4899975, episodes: 196000, mean episode reward: -1.0181334113506197, time: 98.518
steps: 4924975, episodes: 197000, mean episode reward: -1.0046552853875712, time: 98.6
steps: 4949975, episodes: 198000, mean episode reward: -1.0436284624567034, time: 98.635
steps: 4974975, episodes: 199000, mean episode reward: -1.063867004530028, time: 98.426
steps: 4999975, episodes: 200000, mean episode reward: -1.0259871599845705, time: 98.261
steps: 5024975, episodes: 201000, mean episode reward: -1.026616494649791, time: 98.812
steps: 5049975, episodes: 202000, mean episode reward: -1.0258370189223676, time: 98.613
steps: 5074975, episodes: 203000, mean episode reward: -1.0455950954965132, time: 98.084
steps: 5099975, episodes: 204000, mean episode reward: -1.0274766902832961, time: 98.29
steps: 5124975, episodes: 205000, mean episode reward: -1.0258572648843816, time: 98.275
steps: 5149975, episodes: 206000, mean episode reward: -1.066034339978451, time: 98.272
steps: 5174975, episodes: 207000, mean episode reward: -1.0408808718022164, time: 97.707
steps: 5199975, episodes: 208000, mean episode reward: -1.0341850964475778, time: 98.119
steps: 5224975, episodes: 209000, mean episode reward: -1.0295198055661174, time: 98.563
steps: 5249975, episodes: 210000, mean episode reward: -1.0284860281212866, time: 98.809
steps: 5274975, episodes: 211000, mean episode reward: -1.0107119507377762, time: 98.828
steps: 5299975, episodes: 212000, mean episode reward: -1.0396975098242305, time: 99.293
steps: 5324975, episodes: 213000, mean episode reward: -1.0738685979709146, time: 99.859
steps: 5349975, episodes: 214000, mean episode reward: -1.029606334677631, time: 99.49
steps: 5374975, episodes: 215000, mean episode reward: -1.032225749716987, time: 99.234
steps: 5399975, episodes: 216000, mean episode reward: -1.0134336612873862, time: 99.22
steps: 5424975, episodes: 217000, mean episode reward: -1.0142628484180047, time: 99.006
steps: 5449975, episodes: 218000, mean episode reward: -1.03209942569024, time: 98.947
steps: 5474975, episodes: 219000, mean episode reward: -1.0076989712174746, time: 98.839
steps: 5499975, episodes: 220000, mean episode reward: -1.0352464465727285, time: 98.535
steps: 5524975, episodes: 221000, mean episode reward: -1.0533663252043066, time: 98.287
steps: 5549975, episodes: 222000, mean episode reward: -1.011508535120136, time: 98.41
steps: 5574975, episodes: 223000, mean episode reward: -1.0231518987406867, time: 98.36
steps: 5599975, episodes: 224000, mean episode reward: -1.037028671476066, time: 98.44
steps: 5624975, episodes: 225000, mean episode reward: -1.0385374055119514, time: 98.221
steps: 5649975, episodes: 226000, mean episode reward: -1.0411553881836668, time: 97.92
steps: 5674975, episodes: 227000, mean episode reward: -1.042723267132203, time: 97.817
steps: 5699975, episodes: 228000, mean episode reward: -1.042473394945095, time: 98.079
steps: 5724975, episodes: 229000, mean episode reward: -1.0485299937054229, time: 97.635
steps: 5749975, episodes: 230000, mean episode reward: -1.039653460096972, time: 97.75
steps: 5774975, episodes: 231000, mean episode reward: -1.0238900530525263, time: 97.715
steps: 5799975, episodes: 232000, mean episode reward: -1.013407478402181, time: 97.809
steps: 5824975, episodes: 233000, mean episode reward: -1.0215379898554524, time: 98.038
steps: 5849975, episodes: 234000, mean episode reward: -1.0141520164385402, time: 98.725
steps: 5874975, episodes: 235000, mean episode reward: -1.009714742275744, time: 98.622
steps: 5899975, episodes: 236000, mean episode reward: -1.0073495305087583, time: 98.913
steps: 5924975, episodes: 237000, mean episode reward: -0.9955217214898548, time: 100.863
steps: 5949975, episodes: 238000, mean episode reward: -1.0058898814796564, time: 99.259
steps: 5974975, episodes: 239000, mean episode reward: -1.0085231167186055, time: 99.855
steps: 5999975, episodes: 240000, mean episode reward: -1.033718276066054, time: 99.899
steps: 6024975, episodes: 241000, mean episode reward: -1.0192356143069692, time: 99.453
steps: 6049975, episodes: 242000, mean episode reward: -1.0199048951641116, time: 99.677
steps: 6074975, episodes: 243000, mean episode reward: -1.0061682024811296, time: 99.243
steps: 6099975, episodes: 244000, mean episode reward: -0.9980897473811066, time: 98.79
steps: 6124975, episodes: 245000, mean episode reward: -1.0138585705183574, time: 98.221
steps: 6149975, episodes: 246000, mean episode reward: -1.0037784433716046, time: 98.47
steps: 6174975, episodes: 247000, mean episode reward: -0.9991321405466124, time: 98.262
steps: 6199975, episodes: 248000, mean episode reward: -1.0058191130885263, time: 99.031
steps: 6224975, episodes: 249000, mean episode reward: -1.0225742639406432, time: 97.887
steps: 6249975, episodes: 250000, mean episode reward: -1.0237047025544581, time: 97.866
steps: 6274975, episodes: 251000, mean episode reward: -1.0159160489373902, time: 97.864
steps: 6299975, episodes: 252000, mean episode reward: -1.0212481164352523, time: 97.891
steps: 6324975, episodes: 253000, mean episode reward: -1.013080063736615, time: 97.822
steps: 6349975, episodes: 254000, mean episode reward: -1.0085865827510194, time: 98.012
steps: 6374975, episodes: 255000, mean episode reward: -1.0151944621740072, time: 98.011
steps: 6399975, episodes: 256000, mean episode reward: -1.0002381180386484, time: 98.087
steps: 6424975, episodes: 257000, mean episode reward: -0.9998562053607573, time: 98.048
steps: 6449975, episodes: 258000, mean episode reward: -0.9941310577221032, time: 97.934
steps: 6474975, episodes: 259000, mean episode reward: -1.0049377279016602, time: 97.911
steps: 6499975, episodes: 260000, mean episode reward: -0.9944750959557818, time: 98.315
steps: 6524975, episodes: 261000, mean episode reward: -0.9961080347516101, time: 98.569
steps: 6549975, episodes: 262000, mean episode reward: -1.0082761361434054, time: 99.119
steps: 6574975, episodes: 263000, mean episode reward: -1.0141575914042262, time: 99.215
steps: 6599975, episodes: 264000, mean episode reward: -1.0157435654349343, time: 99.078
steps: 6624975, episodes: 265000, mean episode reward: -1.0109646543889759, time: 105.339
steps: 6649975, episodes: 266000, mean episode reward: -1.0288045976009, time: 106.749
steps: 6674975, episodes: 267000, mean episode reward: -1.0055793105398425, time: 100.003
steps: 6699975, episodes: 268000, mean episode reward: -1.0106292938240886, time: 99.609
steps: 6724975, episodes: 269000, mean episode reward: -0.9916717697737853, time: 99.607
steps: 6749975, episodes: 270000, mean episode reward: -0.9982532155851715, time: 98.934
steps: 6774975, episodes: 271000, mean episode reward: -0.9987428970780646, time: 102.646
steps: 6799975, episodes: 272000, mean episode reward: -1.0183724888169583, time: 105.188
steps: 6824975, episodes: 273000, mean episode reward: -1.013534168633858, time: 101.757
steps: 6849975, episodes: 274000, mean episode reward: -1.0244647450827036, time: 104.752
steps: 6874975, episodes: 275000, mean episode reward: -1.0088831689468225, time: 104.907
steps: 6899975, episodes: 276000, mean episode reward: -1.007807911860095, time: 112.292
steps: 6924975, episodes: 277000, mean episode reward: -1.016192920731204, time: 110.542
steps: 6949975, episodes: 278000, mean episode reward: -1.0044798361778375, time: 105.532
steps: 6974975, episodes: 279000, mean episode reward: -1.0094223604218124, time: 122.225
steps: 6999975, episodes: 280000, mean episode reward: -1.011058734606853, time: 136.994
steps: 7024975, episodes: 281000, mean episode reward: -1.0049259538659425, time: 97.372
steps: 7049975, episodes: 282000, mean episode reward: -1.013038274794531, time: 102.501
steps: 7074975, episodes: 283000, mean episode reward: -1.00137081618862, time: 112.635
steps: 7099975, episodes: 284000, mean episode reward: -1.0010785792831505, time: 106.309
steps: 7124975, episodes: 285000, mean episode reward: -1.0028726736300813, time: 118.802
steps: 7149975, episodes: 286000, mean episode reward: -1.0072988818524662, time: 104.44
steps: 7174975, episodes: 287000, mean episode reward: -0.9987276352239176, time: 101.719
steps: 7199975, episodes: 288000, mean episode reward: -1.0156841165149153, time: 99.823
steps: 7224975, episodes: 289000, mean episode reward: -1.03117342969136, time: 99.771
steps: 7249975, episodes: 290000, mean episode reward: -1.0138186768944, time: 100.205
steps: 7274975, episodes: 291000, mean episode reward: -1.0125269946349056, time: 99.729
steps: 7299975, episodes: 292000, mean episode reward: -1.0287581856906318, time: 99.518
steps: 7324975, episodes: 293000, mean episode reward: -1.005752444444698, time: 99.302
steps: 7349975, episodes: 294000, mean episode reward: -1.0101152267464644, time: 98.789
steps: 7374975, episodes: 295000, mean episode reward: -1.017707089246124, time: 98.405
steps: 7399975, episodes: 296000, mean episode reward: -1.006092416400641, time: 98.233
steps: 7424975, episodes: 297000, mean episode reward: -1.011898850148197, time: 98.576
steps: 7449975, episodes: 298000, mean episode reward: -1.0119735437062938, time: 98.285
steps: 7474975, episodes: 299000, mean episode reward: -1.0134810501453138, time: 98.345
steps: 7499975, episodes: 300000, mean episode reward: -1.006009236585462, time: 98.332
